term,id,preferred term
working memory fmri task paradigm,trm_550b50095d4a3,working memory fmri task paradigm
nih toolbox pain intensity survey,trm_50f385a8269ce,nih toolbox pain intensity survey
brixton spatial anticipation test,trm_4da88c5302e06,brixton spatial anticipation test
reception of facial communication,trm_5154a9f45903f,reception of facial communication
judgment of line orientation task,trm_529ce3d22be3e,judgment of line orientation task
behavioral inhibition (cognitive),trm_4b7c270940f9d,behavioral inhibition (cognitive)
zuckerman sensation seeking scale,trm_56abebfe9aaa3,zuckerman sensation seeking scale
roving somatosensory oddball task,trm_566db10532583,roving somatosensory oddball task
facial attractiveness recognition,trm_5595bd89d77c6,facial attractiveness recognition
rivermead behavioural memory test,trm_4da8885b33375,rivermead behavioural memory test
retrieval-induced forgetting task,trm_4da87f81bc2c8,retrieval-induced forgetting task
rey-ostereith complex figure test,trm_4da880396c76b,rey-ostereith complex figure test
rey auditory verbal learning task,trm_4da88ae0f2952,rey auditory verbal learning task
probabilistic classification task,trm_4cacf22a22d80,probabilistic classification task
offensive (proactive) aggression,trm_5159c8a5d3d13,offensive (proactive) aggression
nih toolbox taste intensity test,trm_50f379c6c9ea9,nih toolbox taste intensity test
manipulation of individual words,trm_55218116cbf40,manipulation of individual words
pain monitor/discrimination task,trm_4c8991c5beb0a,pain monitor/discrimination task
contextual semantic priming task,trm_553e73e29cf7d,contextual semantic priming task
battelle developmental inventory,trm_523e10cad0ce6,battelle developmental inventory
associative memory encoding task,trm_553ec64e6cb1b,associative memory encoding task
artificial grammar learning task,trm_4f244a88013ae,artificial grammar learning task
one touch stockings of cambridge,trm_50f84bbdcfa4e,one touch stockings of cambridge
monetary reward prediction error,trm_559f0a5b4cd36,monetary reward prediction error
penn visual object learning test,trm_56a2a6ad6edee,penn visual object learning test
hayling sentence completion test,trm_4da88c904862b,hayling sentence completion test
penn conditional exclusion test,trm_50f9952c2311a,penn conditional exclusion test
continuous recognition paradigm,tsk_4a57abb9499c7,continuous recognition paradigm
auditory sentence comprehension,trm_4a3fd79d09ad5,auditory sentence comprehension
social competence questionnaire,trm_525c4a78089ad,social competence questionnaire
functional localizer fmri tasks,trm_553e85265f51e,functional localizer fmri tasks
spatial location/discrimination,trm_4c8a83f27ac55,spatial location/discrimination
mullen scales of early learning,trm_5262d6d7b2097,mullen scales of early learning
right finger response execution,trm_55b6b910b4b23,right finger response execution
test of word reading efficiency,tsk_4a57abb949ea5,test of word reading efficiency
productive facial communication,trm_5154aa9735134,productive facial communication
hooper visual organization test,tsk_4a57abb949aae,hooper visual organization test
penn’s logical reasoning test,trm_56a2a7750ffd0,penn’s logical reasoning test
psychological refractory period,trm_4ffca95528c88,psychological refractory period
california verbal learning test,trm_4da6331cdeeb5,california verbal learning test
semantic anomaly judgement task,tsk_4a57abb949d84,semantic anomaly judgement task
peabody picture vocabulary test,trm_5266bebe14d2e,peabody picture vocabulary test
regularity and change detection,trm_5519c329eb334,regularity and change detection
nih toolbox words-in noise test,trm_50eb0a01bfd05,nih toolbox words-in noise test
sentence/discourse content test,trm_5521807e50549,sentence/discourse content test
non-painful thermal stimulation,trm_4c89910b7f8bc,non-painful thermal stimulation
sternberg item recognition task,trm_551f0a8b5ba2c,sternberg item recognition task
kaufman brief intelligence test,trm_529ce6ecb35f8,kaufman brief intelligence test
delayed nonmatch to sample task,tsk_4a57abb9499f1,delayed nonmatch to sample task
nih toolbox visual acuity test,trm_50f37caf81432,nih toolbox visual acuity test
sentence-picture matching task,trm_4f241e8a01052,sentence-picture matching task
left finger response execution,trm_55b6b92c1fd76,left finger response execution
nih toolbox grip strength test,trm_50eb51c2cd9fe,nih toolbox grip strength test
visual illusion susceptibility,trm_551b0dc4e4359,visual illusion susceptibility
test of variables of attention,trm_4da86cdbd9eeb,test of variables of attention
object centered representation,trm_4a3fd79d0aa6a,object centered representation
adaptation of marshmellow test,trm_56674e49d15e9,adaptation of marshmellow test
tactile monitor/discrimination,trm_4c8a843d8d352,tactile monitor/discrimination
distraction paradigm (capture),trm_551f07a281283,distraction paradigm (capture)
consensus decision-making task,trm_553fc858cacc5,consensus decision-making task
word-picture verification task,trm_4b65e5e2ab3ca,word-picture verification task
recitation/repetition (covert),trm_4c8a830dec136,recitation/repetition (covert)
perceptual discrimination task,trm_553ebfc390256,perceptual discrimination task
brief psychiatric rating scale,trm_55a6a52537c2b,brief psychiatric rating scale
edinburgh handedness inventory,tsk_4a57abb949a41,edinburgh handedness inventory
auditory arithmetic processing,trm_55b6b8e291dba,auditory arithmetic processing
pittsburgh sleep quality index,trm_5585c83d15fad,pittsburgh sleep quality index
single-task weather prediction,trm_4ebc728326a13,single-task weather prediction
benton facial recognition test,tsk_4a57abb9498bc,benton facial recognition test
blocked channel-selection task,trm_551f0757982bc,blocked channel-selection task
supervisory attentional system,trm_4a3fd79d0b2fa,supervisory attentional system
manipulation of predictability,trm_55492d262a847,manipulation of predictability
matching familiar figures test,trm_4da87b8bf1511,matching familiar figures test
multi-source interference task,trm_5696b61ff253e,multi-source interference task
music comprehension/production,trm_4c8990b07a037,music comprehension/production
heat sensitization/adaptation,trm_4e5662373bc89,heat sensitization/adaptation
monetary incentive delay task,trm_4f23fc8c42d28,monetary incentive delay task
match to sample visual search,trm_50f852c084fde,match to sample visual search
visual pseudoword recognition,trm_558c73f3c8c6f,visual pseudoword recognition
apparent verticality judgment,trm_502ad907e3299,apparent verticality judgment
recitation/repetition (overt),trm_4c8a8329cb8ff,recitation/repetition (overt)
mini mental state examination,tsk_4a57abb949bb1,mini mental state examination
random number generation task,trm_4f2417d4a63ae,random number generation task
word stem completion (covert),trm_4c8a858da803d,word stem completion (covert)
rapid automatized naming test,trm_4b86c2e871b14,rapid automatized naming test
spatial delayed response task,trm_4dadbe225bdf1,spatial delayed response task
articulatory suppression task,trm_50f5822624e53,articulatory suppression task
social judgment of faces task,trm_553eb45e2b709,social judgment of faces task
self regulation questionnaire,trm_56a91ed5f1ccc,self regulation questionnaire
numerical working memory task,trm_553ec40d44c51,numerical working memory task
auditory sentence recognition,trm_558c7b14c076e,auditory sentence recognition
multisource interference task,trm_4f2419c4a1646,multisource interference task
right hand response execution,trm_558c7b337080f,right hand response execution
dickman impulsivity inventory,trm_55a6a95f66508,dickman impulsivity inventory
tobacco craving questionnaire,tsk_4a57abb949eb3,tobacco craving questionnaire
sternberg directed forgetting,trm_56674c7c2fa4f,sternberg directed forgetting
penn emotion recognition task,trm_56a2a6ce24586,penn emotion recognition task
deterministic classification,trm_4e8dd3831f0cc,deterministic classification
auditory tone discrimination,trm_557b476527a27,auditory tone discrimination
uznadze haptic illusion task,trm_4da88ec6735ad,uznadze haptic illusion task
temporal order judgment task,trm_4e31d69b7f422,temporal order judgment task
pyramids and palm trees task,tsk_4a57abb949d32,pyramids and palm trees task
autobiographical memory task,trm_4f244d2a54e27,autobiographical memory task
probabilistic selection task,trm_5667483dcc371,probabilistic selection task
phonetic discrimination task,trm_4f2414a1bab77,phonetic discrimination task
interoceptive representation,trm_4e5506161998c,interoceptive representation
time-series of response time,trm_55218536d1710,time-series of response time
left hand response execution,trm_558c7b707f606,left hand response execution
single item food choice task,trm_55c686e0824e8,single item food choice task
adult adhd self-report scale,trm_55a6a79b55c8b,adult adhd self-report scale
dual-task weather prediction,trm_4ebc98cc77e7b,dual-task weather prediction
negative feedback processing,trm_557b48e337218,negative feedback processing
adolescent symptom inventory,trm_523df616da8a6,adolescent symptom inventory
inductive reasoning aptitude,trm_4d8a48e403c78,inductive reasoning aptitude
duckworth's short grit scale,trm_56a9166421494,duckworth's short grit scale
delayed match to sample task,tsk_4a57abb9499e3,delayed match to sample task
pitch/monitor discrimination,trm_4c89924414c69,pitch/monitor discrimination
conditional stop signal task,trm_4cacf3fbc503b,conditional stop signal task
facial happiness recognition,trm_5595bd2b92003,facial happiness recognition
acoustic phonetic processing,trm_4a3fd79d09713,acoustic phonetic processing
word stem completion (overt),trm_4c8a85a4564b2,word stem completion (overt)
symptom checklist-90-revised,tsk_4a57abb949e5b,symptom checklist-90-revised
holt and laury risk titrator,trm_56674f71483b0,holt and laury risk titrator
positive feedback processing,trm_557b493e4203a,positive feedback processing
semantic classification task,trm_4f2412d4c3b88,semantic classification task
right toe response execution,trm_55b6b952c1b4c,right toe response execution
visually guided saccade task,trm_4f24108555294,visually guided saccade task
test of language development,trm_527143a263937,test of language development
intradimensional shift task,tsk_4a57abb949ad7,intradimensional shift task
space fortress with oddball,trm_50df1dd534ff2,space fortress with oddball
complex trait judgment task,trm_553fd2fc7a648,complex trait judgment task
dot pattern expectancy task,trm_4da86c2a70a7d,dot pattern expectancy task
antisaccade/prosaccade task,tsk_4a57abb949869,antisaccade/prosaccade task
extradimensional shift task,tsk_4a57abb949a5d,extradimensional shift task
face monitor/discrimination,trm_4c898cb4ada49,face monitor/discrimination
discourse content questions,trm_55217a446eb3b,discourse content questions
social responsiveness scale,trm_5208fe678c652,social responsiveness scale
social bargaining fmri task,trm_553e88a66b676,social bargaining fmri task
probabilistic gambling task,trm_4d54b61a14a14,probabilistic gambling task
delay discounting titration,trm_566748c929afc,delay discounting titration
hypomanic personality scale,trm_55a6c92db12b0,hypomanic personality scale
barratt impulsiveness scale,trm_55a6a8e81b7f4,barratt impulsiveness scale
continuous performance task,trm_4b4a537644d76,continuous performance task
spatial working memory task,trm_4f2453b806fe1,spatial working memory task
gambling fmri task paradigm,trm_550b5c1a7f4db,gambling fmri task paradigm
wisconsin card sorting test,tsk_4a57abb949f21,wisconsin card sorting test
theories of willpower scale,trm_56a91a3082c31,theories of willpower scale
differential ability scales,trm_5272806688e63,differential ability scales
covert verb generation task,trm_5346927710e88,covert verb generation task
tone monitor/discrimination,trm_4c8a84825c4e4,tone monitor/discrimination
reversal weather prediction,trm_5181fb7bf350b,reversal weather prediction
chimeric animal stroop task,trm_4b843655d5d75,chimeric animal stroop task
vernier discrimination task,trm_5519c7f17de9f,vernier discrimination task
orthographic discrimination,trm_4c89913f80802,orthographic discrimination
multi-object localizer task,trm_558c33e7714ba,multi-object localizer task
auditory stream segregation,trm_4a3fd79d09ae1,auditory stream segregation
phonological discrimination,trm_4c89922cb6402,phonological discrimination
stockings of cambridge task,trm_4da890cf99b9e,stockings of cambridge task
kinaesthetic representation,trm_4a3fd79d0a72e,kinaesthetic representation
visual sentence recognition,trm_558c7b5228ed4,visual sentence recognition
oculomotor delayed response,trm_4c3e0add96550,oculomotor delayed response
visual object learning test,trm_50f9daf1c3834,visual object learning test
auditory word comprehension,trm_4a3fd79d09aed,auditory word comprehension
spatial selective attention,trm_557b4abe521af,spatial selective attention
phonological working memory,trm_4a3fd79d0ac9e,phonological working memory
left toe response execution,trm_55b6b96e77df6,left toe response execution
understanding mental states,trm_5159c0a633cda,understanding mental states
visual color discrimination,trm_557b4b05ae470,visual color discrimination
pavlovian conditioning task,trm_4c898acd1f28e,pavlovian conditioning task
minimal feature match task,trm_4fbd2d71adf87,minimal feature match task
self ordered pointing task,trm_4c40d325977f0,self ordered pointing task
divided auditory attention,trm_4c898bbab4fd4,divided auditory attention
decision under uncertainty,trm_567982752ff4a,decision under uncertainty
listening and reading task,trm_55217a9f473f0,listening and reading task
visual form discrimination,trm_557b4b27dfd5e,visual form discrimination
memory guided saccade task,trm_4f2457d94fd93,memory guided saccade task
emotional face recognition,trm_557b482a7c62b,emotional face recognition
object-discrimination task,tsk_4a57abb949be9,object-discrimination task
object working memory task,trm_4f2421c391b83,object working memory task
cambridge face memory test,tsk_4a57abb949912,cambridge face memory test
motion discrimination task,trm_553fc63a54ae6,motion discrimination task
non-spatial cuing paradigm,trm_55295382db2c5,non-spatial cuing paradigm
word-picture matching task,trm_4f241ee9c4e37,word-picture matching task
analogical problem solving,trm_4a3fd79d09804,analogical problem solving
conflict adaptation effect,trm_5358ede949107,conflict adaptation effect
regulated heat stimulation,trm_565a31fa6f444,regulated heat stimulation
retinotopic representation,trm_551b0fd03d7d8,retinotopic representation
penn matrix reasoning test,trm_56a2a5f8315c5,penn matrix reasoning test
gray oral reading test - 4,tsk_4a57abb949aa1,gray oral reading test - 4
contour interpolation task,trm_551b0bb59173d,contour interpolation task
gender discrimination task,trm_4f241c8d4a75c,gender discrimination task
verbal working memory task,trm_4f2457a8b0bc8,verbal working memory task
bimanual coordination task,trm_4f244f997615c,bimanual coordination task
numerosity estimation task,trm_4f2457454e458,numerosity estimation task
position of gap match task,trm_4fbd2b6fd33c5,position of gap match task
instrumental learning task,trm_4f2414059baa8,instrumental learning task
expressive vocabulary test,trm_52602e2e0c43b,expressive vocabulary test
attentional blink paradigm,trm_551f06a08dcc4,attentional blink paradigm
visual pattern recognition,trm_557b4b652cbec,visual pattern recognition
adult attachment interview,tsk_4a57abb949858,adult attachment interview
spatial recognition memory,trm_50f733d7305a1,spatial recognition memory
wechsler memory scale (iv),trm_4da63357e4999,wechsler memory scale (iv)
working memory maintenance,trm_55b6b9d7c9435,working memory maintenance
2nd-order rule acquisition,trm_5667441c338a7,2nd-order rule acquisition
visual string recognition,trm_55ef1fd2bc418,visual string recognition
semantic relatedness task,trm_4f240d7664628,semantic relatedness task
emotional self-evaluation,trm_557b4855a12b4,emotional self-evaluation
alternating runs paradigm,trm_4da88b8b60ffb,alternating runs paradigm
serial reaction time task,trm_4f241c735e7f6,serial reaction time task
auditory word recognition,trm_4a3fd79d09af8,auditory word recognition
information sampling task,trm_50f73d557c967,information sampling task
cued explicit recognition,trm_4c898b29660b0,cued explicit recognition
economic value processing,trm_557b4817db34d,economic value processing
cognitive reflection test,trm_56675359b663a,cognitive reflection test
choice reaction time task,tsk_4a57abb949934,choice reaction time task
emotional regulation task,trm_4da890594742a,emotional regulation task
relational reasoning task,trm_4f2454dfca337,relational reasoning task
mixed event-related probe,trm_4e8dd3dfd9fff,mixed event-related probe
figure ground segregation,trm_4a3fd79d0b9dd,figure ground segregation
color-discrimination task,tsk_4a57abb9499b8,color-discrimination task
potential monetary reward,trm_557b495cdde57,potential monetary reward
wason card selection task,trm_4f2449bdcb0b1,wason card selection task
contrast sensitivity test,trm_551efdcd10677,contrast sensitivity test
simple reaction time task,tsk_4a57abb949dc8,simple reaction time task
semantic association task,tsk_4a57abb949d92,semantic association task
emotional decision making,trm_4a3fd79d0a18b,emotional decision making
paired associate learning,trm_4da88a2a63d97,paired associate learning
visual letter recognition,trm_558c7439832d9,visual letter recognition
instrumental conditioning,trm_4a3fd79d0a642,instrumental conditioning
analogical reasoning task,trm_4f244f0286947,analogical reasoning task
two item food choice task,trm_55c691909c580,two item food choice task
prototype distortion task,trm_4f24550fc5f38,prototype distortion task
sequential shape matching,trm_4e8a0dd29ec7b,sequential shape matching
auditory scene perception,trm_551b1460e89a3,auditory scene perception
implicit association task,trm_50b6660b1b847,implicit association task
letter case judgment task,trm_4f241001dfcee,letter case judgment task
tongue response execution,trm_55b6b98b88f45,tongue response execution
symbol-digit substitution,tsk_4a57abb949e44,symbol-digit substitution
visual number recognition,trm_557b4b47d994a,visual number recognition
crystallized intelligence,trm_4a3fd79d09f64,crystallized intelligence
subjective value judgment,trm_558c736199abd,subjective value judgment
visual object maintenance,trm_559f0986182cc,visual object maintenance
bistable percept paradigm,trm_553fce5d21da7,bistable percept paradigm
visual object recognition,trm_4a3fd79d0b4a9,visual object recognition
trail making test a and b,tsk_4a57abb949ec0,trail making test a and b
temporal discounting task,tsk_4a57abb949e98,temporal discounting task
perceptual identification,trm_4a3fd79d0abaa,perceptual identification
perceptual categorization,trm_4a3fd79d0ab93,perceptual categorization
transitive inference task,trm_551f1491a2fe8,transitive inference task
hopkins symptom checklist,trm_55a6a860a7088,hopkins symptom checklist
intermediate term memory,trm_4a3fd79d0a6b9,intermediate term memory
contour integration task,trm_5519c85ed1e8d,contour integration task
numerical scale judgment,trm_557b48f22ba99,numerical scale judgment
